97;Love Hina Advance - Shukufuku no Kane ha Naru Kana;Eeprom_v121;8388608;MMV;7;Eurasia;256;B8E67449;BA0BFEA9;E16A67A5;;97;;0
98;Men in Black - The Series;None;4194304;Crave Entertainment;0;Eurasia;2;56BA6858;5A47994A;FF357FF6;;98;;0
99;ESPN Final Round Golf;Flash_v124;8388608;Konami;0;Paracox;2;4878BBEA;D095CFCF;C3433444;;99;;0
100;Medarot Navi - Kuwagata;Flash_v124;8388608;Imagineer;7;Eurasia;256;E83D07D6;75B4B26B;DA914D79;;100;;0
101;Medarot Navi - Kabuto;Flash_v124;8388608;Imagineer;7;Eurasia;256;15450B63;0B75A4F2;BE04C762;;101;;0
102;Atlantis - The Lost Empire;None;4194304;THQ;1;Eurasia;2;8BD224C5;728AD23A;5BDA148F;;102;;0
103;Jurassic Park III - Park Builder;Sram_F_v102;4194304;Konami;0;Eurasia;4291;51061EFF;427685DE;813BA414;;103;;0
104;Tetris Worlds;None;4194304;THQ;1;Menace;2;7B729804;A6F0C9CE;F2631378;;104;;0
105;Mario Kart - Super Circuit;Flash_v124;4194304;Nintendo;0;Cezar;2;20025842;1B0F8C1D;5DFE38BF;;105;;0
106;Robot Ponkottsu 2 - Ring Version;Flash_v126;4194304;Hudson;7;Eurasia;256;63329BDA;D94E9197;0C9FF87D;;106;;0
107;Robot Ponkottsu 2 - Cross Version;Flash_v126;4194304;Hudson;7;Eurasia;256;DCAF2FD6;F161C729;61224A2A;;107;;0
108;NFL Blitz 20-02;None;4194304;Midway;1;Quartex;2;8C748DCB;E1CF9F57;73D66128;;108;;0
109;Gensou Suikoden - Card Stories;None;4194304;Konami;7;Eurasia;256;5E67AAB4;5AAB5391;6C6CC677;;109;;0
110;ESPN X-Games Skateboarding;Eeprom_v121;8388608;Konami;1;Mode 7;2;9766B309;879D7077;53ADAEB2;;110;;0
111;Super Robot Taisen A;Flash_v125;8388608;Banpresto;7;Eurasia;256;2F6E9788;AADF206C;F9E8113C;;111;;0
112;Rocket Power - Dream Scheme;None;4194304;THQ;1;Mode 7;2;93961CB2;05A01F01;0EF9C07C;;112;;0
113;Klonoa - Empire of Dreams;Eeprom_v121;4194304;Namco;1;Mode 7;2;F74E1036;C491C023;04BA49B1;;113;;0
114;Jurassic Park III - Park Builder;Sram_F_v102;4194304;Konami;1;-Q;2;EDDDCF19;2C3C8B53;F9EA5C64;;114;;0
115;Spider-Man - Mysterio's Menace;None;8388608;Activision;16;Mode 7;2;6E135B4D;0F15A88A;5EAE14BF;;115;;0
116;Caesars Palace Advance;None;8388608;Majesco Sales;16;Mode 7;2;5D54ECE5;3F377E0C;B4DB75A3;;116;;0
117;Field of Nine - Digital Edition 2001;Sram_v112;8388608;Konami;7;Eurasia;256;4FD9C349;4B3F2156;DD95F4A9;;117;;0
118;BackTrack;Eeprom_v122;4194304;Telegames;16;Mode 7;2;48539B4B;F8319774;760B36C6;;118;;0
119;Morita Shougi Advance;Sram_v112;4194304;Hudson;7;Cezar;256;149E01B7;873DA683;DEC1269B;;119;;0
